titulo,autor,ano,resumo,link
"AS FERROVIAS DA PROVÍNCIA DO RIO DE JANEIRO ENTRE 1854 E 1886: CONSTRUÇÃO, ATUAÇÃO E POSSÍVEIS ARTICULAÇÕES.","QUINHONES, Vinícius Brito",NA,"A presente pesquisa se dedica ao tema das ferrovias construídas na província do Rio de Janeiro no fim do Império. O principal objetivo é investigar até que ponto pode-se perceber existência de um sistema ferroviário a ...",https://app.uff.br/riuff/handle/1/33832
"Remoções e resistências: a transferência da população do aterro em Guarus para o conjunto habitacional do Parque Santa Clara, Campos dos Goytacazes (RJ)","SILVA, Filliph Machado Santos da",NA,"Os processos de remoções geralmente estão associados a uma intervenção do Estado por meio de políticas habitacionais que trazem consideráveis impactos tanto para as populações removidas quanto para os lugares. Como ...",https://app.uff.br/riuff/handle/1/31428
Viabilidade da pesca artesanal frente aos rejeitos de minério lançados na costa norte do Espírito Santo: uso do conhecimento tradicional,"Oliveira, Pablo da Costa",2020,"Em novembro de 2015 houve o rompimento de uma barragem do Complexo Minerário de Germano da mineradora SAMARCO Mineração S.A. (BHP Billiton) no município de Mariana, Minas Gerais, sudeste do Brasil. Este desastre socioambiental ...",https://app.uff.br/riuff/handle/1/21623
O porto do Açu (RJ): a superexploração do trabalho e os conflitos sócio-espaciais,"Barreto, Nina Maria de Souza",2020,"O atual período capitalista de globalização é marcado por extrema complexidade em todas as esferas sociais, e o estudo do espaço geográfico e dos conflitos sócio-espaciais ganha destaque ainda maior nesse contexto. A região ...",https://app.uff.br/riuff/handle/1/21621
Da capital às tabancas: a lugaridade entre os guineenses e missionários protestantes em Guiné-Bissau,"Pacheco Junior, Nelson Cortes",2020,"O ente que cada um de nós somos possui a essência de compartilhar as suas experiências com o outro, isso contribui para que sejamos ser-com. Essa convivência ocorre necessariamente porque estamos em um lugar sendo nele que ...",https://app.uff.br/riuff/handle/1/21619
"Distribuição geográfica da pesca marinha em relação ao recife artificial navio Victory 8B, Espírito Santo: uma análise a partir do conhecimento tradicional de pescadores artesanais","Abreu, Juliana Silva de",2020,"A pesca artesanal marinha é uma atividade que emprega mais de 35 milhões de pescadores em todo o mundo e no estado do Espírito Santo (ES), sudeste do Brasil é praticada ao longo da sua linha de costa. Nos últimos 20 anos ...",https://app.uff.br/riuff/handle/1/21618
Mirando as tecnologias: aprendizagens de geografias vizinhas,"Alves, Hortência de Jesus Rodrigues",2020,Estar envolvida com a docência sempre me exigiu ir além de construir um plano de aula aplicável. Eu observava os meus alunos e percebia o modo que eles gostariam de aprender. Identifiquei nessas observações o fascínio das ...,https://app.uff.br/riuff/handle/1/21605
Plano participativo de mobilidade urbano de Cabo Frio - RJ: desafios e possibilidades,"Marques, Gabriel Guanabarã Lemos",2020,"No Brasil as formas de produção e consumo do espaço urbano, via de regra, foram/são marcadas por um modelo de gestão pública centralizada, autoritária, clientelista e patrimonialista, onde o planejamento, as ações de ...",https://app.uff.br/riuff/handle/1/21604
Cidade-negócio e responsabilidade social empresarial: uma análise crítica da ONG Teto e seus financiadores,"Soares, Edmilson Campos",2020,"A participação das empresas em programas sociais e ambientais faz parte do que se convencionou chamar de responsabilidade social empresarial, ampliando práticas de filantropia e a intervenção em questões que anteriormente ...",https://app.uff.br/riuff/handle/1/21603
Estimativa da área plantada de cana-de-açúcar em Campos dos Goytacazes - RJ utilizando sensoriamento remoto,"Barbosa, Antônio Ivo Gomes",2019,"O Brasil é um dos maiores países produtores de açúcar e álcool do mundo. Não por acaso, este setor vem apresentando importância nacional econômica desde a época colonial. É de extrema importância que seja feita uma análise ...",https://app.uff.br/riuff/handle/1/21544
"Do rap ao batidão: a formação político-cultural periférica e o protagonismo da mulher nos movimentos funk e hip hop: contradições, limites e conflitos","Cunha, Andreia Ribeiro",2020,Nossa pesquisa pauta-se na análise da relação entre o espaço e a formação dos movimentos funk e hip hop nas últimas décadas dos anos 2000 na sociedade brasileira. Através do diálogo com corpos historicamente subalternizados ...,https://app.uff.br/riuff/handle/1/21541
"Religiões afro-brasileiras em Campos dos Goytacazes: territórios, conflitos e resistência","Silva, Anderson Luiz Barreto da",2020,"A religião e a geografia têm como conexão o fato de ambas serem práticas inatas da humanidade, e, desta conexão surgiu a Geografia da Religião que é um ramo da ciência geográfica que contribui conceitualmente para o ...",https://app.uff.br/riuff/handle/1/21501
Respeite as minas: a territorialidade feminina no movimento hip-hop em Campos dos Goytacazes e Macaé,"Tavares, Thais Dias",2020,"O Hip-hop desde seu surgimento é visto como uma cultura juvenil urbana predominantemente masculina e/ou masculinizada, porque, ainda que existam mulheres, a participação delas ainda é inferior aos dos homens. Nesse sentido, ...",https://app.uff.br/riuff/handle/1/21460
De quem são os lugares na cidade?: entendendo trajetórias gays em Campos dos Goytacazes - RJ,"Nogueira, Fernanda de Faria Viana",2019,"De quem são os lugares na cidade? Esse é um questionamento das tensões, afetos, seguranças e inseguranças produzidos nos lugares, a partir de uma leitura de identidades atravessadas pelo consumo, em uma realidade essencialmente ...",https://app.uff.br/riuff/handle/1/21453
